tn_seq_exit.msid,tn_seq_exit.lon,tn_seq_exit.lat
6A80D92C6E26B3A33A91842C3AA4B668,30.17282,120.26784
6A80D92C6E26B3A33A91842C3AA4B668,30.17595,120.26322
6A80D92C6E26B3A33A91842C3AA4B668,30.1870725,120.255887
6A80D92C6E26B3A33A91842C3AA4B668,30.1850085,120.248106
C26B5D0CEB4D6611324BBC7148CCAED3,30.15818,120.14684
C26B5D0CEB4D6611324BBC7148CCAED3,30.265274,120.548043
C26B5D0CEB4D6611324BBC7148CCAED3,30.27587,120.57376
C26B5D0CEB4D6611324BBC7148CCAED3,30.265274,120.548043
C26B5D0CEB4D6611324BBC7148CCAED3,30.260041,120.574241
C26B5D0CEB4D6611324BBC7148CCAED3,30.28853,120.58512
C26B5D0CEB4D6611324BBC7148CCAED3,30.29093,120.55545
C26B5D0CEB4D6611324BBC7148CCAED3,30.29473,120.56868
C26B5D0CEB4D6611324BBC7148CCAED3,30.265274,120.548043
C26B5D0CEB4D6611324BBC7148CCAED3,30.241507,120.536294
C26B5D0CEB4D6611324BBC7148CCAED3,30.252991,120.485211
C26B5D0CEB4D6611324BBC7148CCAED3,30.24162,120.35811
C26B5D0CEB4D6611324BBC7148CCAED3,30.25104,120.35681
C26B5D0CEB4D6611324BBC7148CCAED3,30.2305,120.3328
C26B5D0CEB4D6611324BBC7148CCAED3,30.27114,120.36301
C26B5D0CEB4D6611324BBC7148CCAED3,30.2092,120.33102
C26B5D0CEB4D6611324BBC7148CCAED3,30.182401,120.331001
C26B5D0CEB4D6611324BBC7148CCAED3,30.141661,120.314541
C26B5D0CEB4D6611324BBC7148CCAED3,30.136301,120.320001
C26B5D0CEB4D6611324BBC7148CCAED3,30.136272,120.296011
C26B5D0CEB4D6611324BBC7148CCAED3,30.11764,120.26158
C26B5D0CEB4D6611324BBC7148CCAED3,30.12023,120.25169
C26B5D0CEB4D6611324BBC7148CCAED3,30.112815,120.247985
